Date,Infected,Recovered,Susceptible,Ro
18-Mar,1,0,91347734,0
19-Mar,2,0,91347733,0
20-Mar,3,0,91347732,0
21-Mar,4,0,91347731,0
22-Mar,6,0,91347729,0
23-Mar,8,0,91347727,0
24-Mar,8,0,91347727,0
25-Mar,9,0,91347726,0
26-Mar,14,0,91347721,0
27-Mar,16,0,91347719,0
28-Mar,19,0,91347716,2.00000044
29-Mar,20,1,91347714,2.000000458
30-Mar,21,2,91347712,3.500001072
31-Mar,31,6,91347698,0
01-Apr,31,6,91347698,0
02-Apr,47,6,91347682,0
03-Apr,47,6,91347682,0
04-Apr,47,6,91347682,3.857145411
05-Apr,67,13,91347655,0
06-Apr,67,13,91347655,3.666669577
07-Apr,75,16,91347644,4.000003459
08-Apr,81,18,91347636,1.333334545
09-Apr,82,21,91347632,0
10-Apr,95,21,91347619,0
11-Apr,105,21,91347609,0.400000464
12-Apr,102,26,91347607,2.400002995
13-Apr,116,36,91347583,4.36
14-Apr,147,43,91347545,4.36
15-Apr,169,44,91347522,2.250004384
16-Apr,179,52,91347504,2.363641332
17-Apr,194,63,91347478,4.36
18-Apr,220,67,91347448,3.285722612
19-Apr,236,74,91347425,4.36
20-Apr,261,78,91347396,4.36
21-Apr,304,88,91347343,0
22-Apr,335,88,91347312,4.36
23-Apr,362,94,91347279,2.148157343
24-Apr,393,121,91347221,0
25-Apr,450,121,91347164,4.36
26-Apr,486,125,91347124,0
27-Apr,524,125,91347086,4.36
28-Apr,566,131,91347038,2.800017779
29-Apr,584,141,91347010,2.062513559
30-Apr,601,157,91346977,1.608706562
01-May,615,180,91346940,4.36
02-May,723,199,91346813,3.600034523
03-May,944,284,91346507,0.462691427
04-May,908,351,91346476,1.603790273
05-May,940,404,91346391,4.36
06-May,1047,409,91346279,2.421081601
07-May,1101,447,91346187,3.611157206
08-May,1195,483,91346057,1.800024612
09-May,1243,543,91345949,2.593257798
10-May,1337,602,91345796,1.425309185
11-May,1374,689,91345672,0.909105131
12-May,1363,810,91345562,1.181836573
13-May,1381,909,91345445,1.17569401
14-May,1394,983,91345358,1.183117191
15-May,1407,1054,91345274,1.642883482
16-May,1452,1124,91345159,1.383584401
17-May,1480,1197,91345058,2.773632076
18-May,1574,1250,91344911,1.851384641
19-May,1637,1324,91344774,2.184656233
20-May,1714,1389,91344632,1.492092257
21-May,1745,1452,91344538,3.970667021
22-May,1846,1486,91344403,1.984416482
23-May,1909,1550,91344276,3.40991121
24-May,2056,1611,91344068,1.839549077
25-May,2124,1692,91343919,2.506554438
26-May,2240,1769,91343726,1.867394602
27-May,2325,1867,91343543,3.583431289
28-May,2573,1963,91343199,2.42989669
29-May,2736,2077,91342922,1.569356659
30-May,2851,2279,91342605,1.90262735
31-May,3027,2474,91342234,1.726174412
01-Jun,3141,2631,91341963,3.473811191
02-Jun,3423,2745,91341567,1.88896319
03-Jun,3583,2925,91341227,1.858662509
04-Jun,3753,3123,91340859,2.75495834
05-Jun,4025,3278,91340432,1.942054485
06-Jun,4236,3502,91339997,2.279299119
07-Jun,4488,3699,91339548,2.491356287
08-Jun,4743,3870,91339122,2.254667118
09-Jun,4950,4035,91338750,1.948972912
10-Jun,5117,4211,91338407,2.009249816
11-Jun,5338,4430,91337967,2.097044312
12-Jun,5587,4657,91337491,1.304680744
13-Jun,5693,5005,91337037,1.950171884
